"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"arm","arm","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.11-2",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, Hmisc, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.0.2"
"arrangements","arrangements","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.9",NA,"R (>= 3.4.0)","gmp, methods, R6",NA,"foreach, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"arules","arules","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.6-6",NA,"R (>= 3.4.0), Matrix (>= 1.2-0)","stats, methods, graphics, utils",NA,"pmml, XML, arulesViz, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"AsioHeaders","AsioHeaders","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.16.1-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.2"
"askpass","askpass","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"assertthat","assertthat","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"AsynchLong","AsynchLong","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.1",NA,"compiler, parallel, stats, graphics, methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.0"
"aws.signature","aws.signature","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.6.0",NA,NA,"digest, base64enc",NA,"testthat (>= 2.1.0), aws.ec2metadata (>= 0.1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"backports","backports","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.10",NA,"R (>= 3.0.0)","utils",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"base64enc","base64enc","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"BayesFactor","BayesFactor","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.9.12-4.2",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, arm, lme4, xtable,
languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"bayesm","bayesm","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.1-4",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.0), utils, stats, graphics, grDevices","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"bayesplot","bayesplot","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.7.2",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo (>=
2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>= 2.17.1),
rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales, shinystan
(>= 2.3.0), testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"bayestestR","bayestestR","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.7.2",NA,"R (>= 3.0)","insight (>= 0.8.4), methods, stats, utils",NA,"BayesFactor, bayesQR, bridgesampling, brms, broom, covr,
dplyr, emmeans, GGally, ggplot2, ggridges, KernSmooth, knitr,
MASS, mclust, modelbased, lme4, logspline, mediation,
parameters, performance, rmarkdown, rstan, rstanarm, see,
stringr, testthat, tidyr, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"bazar","bazar","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.11",NA,"R (>= 3.1.3)","kimisc, stats, tools, utils",NA,"knitr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"BBmisc","BBmisc","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.11",NA,NA,"utils, methods, stats, checkmate (>= 1.8.0)",NA,"testthat, microbenchmark, codetools",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"bbmle","bbmle","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0.23.1",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"bbplot","bbplot","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2",NA,"R (>= 3.3.0)","ggplot2, png, grid, ggpubr, dplyr, data.table",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"bdsmatrix","bdsmatrix","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.3-4",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.0.0"
"beautifyR","beautifyR","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.2",NA,NA,"stringr (>= 1.3.0), rstudioapi (>= 0.7)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"berryFunctions","berryFunctions","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.19.1",NA,NA,"grDevices, graphics, stats, utils, abind",NA,"RColorBrewer, pbapply, knitr, rmarkdown, gstat, RCurl,
colorspace",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"betareg","betareg","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.1-3",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"BH","BH","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.72.0-3",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.0"
"BiasedUrn","BiasedUrn","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.07",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"bibtex","bibtex","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.4.2.2",NA,"R (>= 3.0.2)","stringr, utils",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"bife","bife","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.7",NA,"R (>= 3.1.0)","data.table, Formula, Rcpp, stats","Rcpp, RcppArmadillo","alpaca, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"bigmemory","bigmemory","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.5.36",NA,"R (>= 3.2.0),","methods, Rcpp, utils, bigmemory.sri","BH, Rcpp","testthat","biganalytics, bigtabulate","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"yes","4.0.0"
"bigmemory.sri","bigmemory.sri","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.3",NA,NA,"methods",NA,NA,"bigmemory, synchronicity","LGPL-3 | Apache License 2.0",NA,NA,NA,NA,"no","4.0.0"
"bimets","bimets","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.5.1",NA,"R (>= 3.3), xts, zoo","stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"binman","binman","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.1",NA,"R (>= 3.3)","rappdirs, yaml, httr, jsonlite, xml2, utils, stats,
assertthat, semver",NA,"testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"Biobase","Biobase","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.48.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.0"
"BiocGenerics","BiocGenerics","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.34.0",NA,"R (>= 3.6.0), methods, utils, graphics, stats, parallel","methods, utils, graphics, stats, parallel",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, oligoClasses, oligo,
affyPLM, flowClust, affy, DESeq2, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
"BiocManager","BiocManager","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.30.10",NA,NA,"utils",NA,"BiocStyle, BiocVersion, remotes, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"BiocVersion","BiocVersion","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.11.1",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
"bit","bit","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bit64","bit64","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bitops","bitops","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"blob","blob","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2.1",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"blogdown","blogdown","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.20",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.14), knitr (>= 1.25),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), xfun (>= 0.10),
servr (>= 0.15)",NA,"testit, shiny, miniUI, stringr, rstudioapi, tools, processx,
later, whoami",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"BMA","BMA","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.18.12",NA,"survival, leaps, robustbase, inline, rrcov","methods",NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"BMS","BMS","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.4",NA,"R (>= 2.5)","graphics, methods, stats",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
"bookdown","bookdown","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.20",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 2.3),
xfun (>= 0.6), tinytex (>= 0.12)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.1"
"boot","boot","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.3-25","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.0.2"
"bootstrap","bootstrap","C:/Users/John Karuitha/Documents/R/win-library/4.0","2019.6",NA,"stats, R (>= 2.10.0)",NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"brew","brew","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.0.0"
"brglm","brglm","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.6.2",NA,"R (>= 2.6.0), profileModel",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"brglm2","brglm2","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.6.2",NA,"R (>= 3.3.0)","MASS, stats, Matrix, graphics, nnet, enrichwith, lpSolveAPI,
numDeriv",NA,"testthat, knitr, rmarkdown, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bridgesampling","bridgesampling","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.0-0",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"brms","brms","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.13.5",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.3.1), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 2.1.1), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), bridgesampling (>= 0.3-0),
glue (>= 1.3.0), matrixStats, nleqslv, nlme, coda, abind,
future, stats, utils, parallel, grDevices, backports",NA,"testthat (>= 0.9.1), emmeans (>= 1.4.2), cmdstanr (>=
0.0.0.9008), RWiener, rtdists, mice, spdep, mnormt, lme4,
MCMCglmm, splines2, ape, arm, statmod, digest, R.rsp, knitr,
rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"Brobdingnag","Brobdingnag","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2-6",NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.0"
"broom","broom","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.7.0",NA,"R (>= 3.1)","backports, dplyr, ellipsis, generics (>= 0.0.2), glue,
methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, coda, covr, drc, e1071, emmeans,
epiR, ergm, fixest (>= 0.3.1), gam (>= 1.15), gamlss,
gamlss.data, gamlss.dist, gee, geepack, ggplot2, glmnet,
glmnetUtils, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest,
lsmeans, maps, maptools, MASS, Matrix, mclogit, mclust,
mediation, metafor, mfx, mgcv, modeldata, modeltests, muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep, spatialreg, speedglm, spelling,
statnet.common, survey, survival, systemfit, testthat (>=
2.1.0), tseries, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"broom.mixed","broom.mixed","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.6",NA,NA,"broom, dplyr, tidyr, plyr, purrr, tibble, reshape2, nlme,
methods, stringr, coda, TMB, cubelyr",NA,"knitr, testthat, ggplot2, Matrix, MCMCglmm, lme4, brms, mgcv,
gamlss, gamlss.data, lmerTest, pbkrtest, glmmADMB, glmmTMB,
dotwhisker, pander, R2jags, GLMMadaptive, rstan, rstanarm",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"broomExtra","broomExtra","C:/Users/John Karuitha/Documents/R/win-library/4.0","4.0.6",NA,"R (>= 3.6.0)","broom (>= 0.7.0), broom.mixed, dplyr, ipmisc (>= 3.2.0),
parameters, performance, rlang",NA,"generics, lavaan, lme4, MASS, mixor, rmarkdown, spelling,
testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"BWStest","BWStest","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.2.2",NA,NA,"memoise, Rcpp (>= 0.12.3)","Rcpp","testthat",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"CADFtest","CADFtest","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3-3",NA,"dynlm, sandwich, tseries, urca",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"callr","callr","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.4.4",NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, fansi, pingr, ps, rprojroot, spelling,
testthat, tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"canvasXpress","canvasXpress","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.27.6-1",NA,"R (>= 3.5.0)","htmlwidgets (>= 0.8), httr, stats",NA,"shiny (>= 1.0), knitr, rmarkdown, testthat, covr, webshot,
png, grid, limma, glue, dplyr, tibble, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"canvasXpress.data","canvasXpress.data","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.29.0",NA,"R (>= 3.5)",NA,NA,"dplyr, tibble, tidyr, usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"car","car","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.0-9",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"carData","carData","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.0-4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"caret","caret","C:/Users/John Karuitha/Documents/R/win-library/4.0","6.0-86",NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, mda, mgcv,
mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls, proxy,
randomForest, RANN, spls, subselect, pamr, superpc, Cubist,
testthat (>= 0.9.1), rpart, dplyr, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"caTools","caTools","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.18.0",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"CDNmoney","CDNmoney","C:/Users/John Karuitha/Documents/R/win-library/4.0","2012.4-2",NA,"R (>= 2.10)",NA,NA,"tframe (>= 2006.1-1), tfplot",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"cellranger","cellranger","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"censReg","censReg","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.5-32",NA,"R (>= 2.4.0), maxLik (>= 0.7-3)","glmmML (>= 0.81-6), sandwich (>= 2.2-6), miscTools (>=
0.6-11), stats (>= 2.15.0), plm",NA,"AER, lmtest (>= 0.9-27)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"checkmate","checkmate","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"cherryblossom","cherryblossom","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 2.10)",NA,NA,"ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"chron","chron","C:/Users/John Karuitha/Documents/R/win-library/4.0","2.3-56",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"class","class","C:/Users/John Karuitha/Documents/R/win-library/4.0","7.3-17","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
